repo_owner,repo_project,log_files,log_watch,size_bubble,primary_language,language_entropy
scalanlp,breeze,6.26530121273771,5.62040086571715,72.0,Scala,0.012405681510099
singro,v2ex,6.220590170099739,5.739792912179234,70.6,Objective-C,0.1103143293923468
DavidWells,isomorphic-react-example,2.70805020110221,5.993961427306569,62.4,JavaScript,0.0
clearwater-rb,clearwater,3.8066624897703196,5.214935757608986,47.9,Ruby,0.6929310670761849
krispo,angular-nvd3,2.70805020110221,5.342334251964811,47.7,JavaScript,0.0
nficano,python-lambda,3.044522437723423,5.159055299214529,33.6,Python,0.124679426198954
thoughtbot,laptop,1.791759469228055,6.432940092739179,46.9,Shell,0.0
antirez,disque,5.793013608384144,7.064759027791802,70.0,C,0.3475542942251004
hammerjs,hammer.js,4.2626798770413155,7.148345743900068,53.8,JavaScript,0.3945895319146136
jacomyal,sigma.js,5.135798437050262,6.573680166960646,62.0,TypeScript,0.3367951071134968
lingochamp,MagicProgressWidget,3.713572066704308,5.823045895483019,76.7,Java,0.0
timuric,Content-generator-sketch-plugin,7.491087593534876,6.246106765481563,81.9,JavaScript,0.0186068079068155
jhabdas,react-native-webpack-starter-kit,3.784189633918261,6.251903883165888,42.9,Objective-C,0.9364492730179425
lexrus,LTMorphingLabel,3.828641396489095,6.669498089857879,62.2,Swift,0.146575579467357
LukyVj,family.scss,4.290459441148391,7.315218389752975,58.1,SCSS,1.0686176754262529
hakimel,reveal.js,4.624972813284271,8.109525659752872,45.6,JavaScript,0.9797764260640672
perwendel,spark,5.209486152841421,6.906754778648554,63.8,Java,0.0034112258125083
wckr,wocker,1.791759469228055,5.075173815233827,35.6,Shell,0.0
shama,webpack-stream,2.9444389791664403,5.44673737166631,30.8,JavaScript,0.0
cwRichardKim,TinderSimpleSwipeCards,4.02535169073515,5.62040086571715,48.0,Objective-C,0.0
mikeizbicki,HLearn,4.382026634673881,5.209486152841421,65.6,Haskell,0.5553947166698964
lopspower,CircularImageView,3.8918202981106265,5.081404364984463,57.9,Kotlin,0.0182307124412461
raisemarketplace,redux-loop,3.258096538021482,6.342121418721152,50.7,JavaScript,0.0
vim-airline,vim-airline,4.276666119016055,6.961296045910167,51.4,Vim Script,0.0
crosswalk-project,crosswalk,7.158513997329321,5.955837369464831,77.6,C++,1.162613713326499
LTD-Beget,sprutio,5.5053315359323625,5.313205979041787,72.8,Python,0.1458511037008068
CoderJackyHuang,HYBLoopScrollView,4.454347296253507,5.6131281063880705,49.8,Objective-C,0.0248870831414198
javiereguiluz,EasyAdminBundle,6.429719478039138,5.834810737062605,79.5,PHP,0.8161931452624016
Shopify,toxiproxy,4.48863636973214,5.455321115357702,54.4,Go,0.2722436672002391
google,git-appraise,3.6109179126442243,6.220590170099739,45.2,Go,0.0
amsul,pickadate.js,4.990432586778736,6.100318952020064,39.2,JavaScript,0.4766432564965946
davyxu,cellnet,4.007333185232471,5.288267030694535,44.8,Go,0.0610956190753123
thephpleague,fractal,3.9318256327243257,5.332718793265369,33.2,PHP,0.0063345344406541
vmg,redcarpet,4.897839799950911,5.771441123130016,38.8,C,1.087202768934123
kevinlawler,NSDate-TimeAgo,3.9512437185814275,5.187385805840755,54.6,Objective-C,0.7923033087118908
InterNations,antwort,2.772588722239781,5.135798437050262,48.5,HTML,0.4619246175977168
browserstate,history.js,4.762173934797756,6.267200548541362,65.9,JavaScript,0.249181106685152
MortimerGoro,MGSwipeTableCell,4.127134385045092,6.7661917146603505,58.3,Objective-C,0.0835737208073936
renzifeng,ZFPlayer,4.9344739331306915,7.351799869057777,66.2,Objective-C,0.0576929128923893
antoniolg,Bandhook-Kotlin,4.61512051684126,5.318119993844216,51.2,Kotlin,0.0
babel,babel-sublime,4.897839799950911,6.26530121273771,64.5,JavaScript,0.0
spragunr,deep_q_rl,3.044522437723423,5.6240175061873385,37.9,Python,0.0833336261718681
facebook,mcrouter,6.5638555265321274,5.081404364984463,74.0,C++,0.4404410960060717
flarum,flarum,3.258096538021482,6.813444599510896,27.7,PHP,0.0
rspec,rspec-rails,5.429345628954441,5.58724865840025,62.1,Ruby,0.6661081946061963
bloomberg,ocamlscript,7.034387929915503,6.156978985585555,76.9,OCaml,0.7087229795241888
ReactiveX,RxJS,6.54534966033442,6.677083461247136,70.3,TypeScript,0.3421444770366614
babel,example-node-server,2.0794415416798357,5.351858133476067,45.8,JavaScript,0.0
Zephrys,monica,2.302585092994046,5.214935757608986,37.6,Python,0.0
agrison,harpoon,2.772588722239781,5.288267030694535,55.5,Go,0.0
webrtc,adapter,3.4011973816621555,5.3706380281276624,42.5,JavaScript,0.0063985238755578
brigade,react-waypoint,2.995732273553991,5.54907608489522,34.2,JavaScript,0.0366430440155071
ReactiveX,RxJava,6.39024066706535,8.329103028159418,83.0,Java,0.0082361467498379
