language,n,median_entropy,Single_%,Low_2_%,Medium_3_4_%,High_5_10_%,Polyglot_10plus_%
JavaScript,1288,0.247,21.5,21.6,39.6,16.1,1.2
Java,731,0.0,50.1,16.0,14.8,14.6,4.5
Python,423,0.088,22.9,20.8,29.1,23.2,4.0
Swift,347,0.142,6.6,21.9,61.1,10.4,0.0
Objective-C,339,0.121,6.5,42.8,37.2,12.1,1.5
Go,322,0.091,21.4,19.3,28.9,25.8,4.7
PHP,202,0.034,35.6,18.8,20.3,22.8,2.5
Ruby,200,0.082,31.5,22.5,23.5,21.0,1.5
C++,180,0.624,0.6,4.4,15.0,51.1,28.9
C,150,0.598,0.0,3.3,20.7,50.7,25.3
TypeScript,132,0.434,2.3,12.9,49.2,32.6,3.0
HTML,126,0.763,5.6,11.9,54.8,26.2,1.6
Shell,105,0.219,29.5,18.1,38.1,13.3,1.0
C#,92,0.069,16.3,17.4,25.0,33.7,7.6
CSS,89,0.727,4.5,20.2,58.4,15.7,1.1
